organism;sample fraction;sample;label;fraction;copy number;copy number norm;density;DNA conc
16S;41.1;41;13C;1;3.55E+03;1.56E-03;1.7483409;0
16S;41.2;41;13C;2;2.42E+03;1.07E-03;1.7461755;0.001
16S;41.3;41;13C;3;6.76E+03;2.98E-03;1.7418447;0.106
16S;41.4;41;13C;4;1.33E+05;5.86E-02;1.7375139;2.24
16S;41.5;41;13C;5;6.04E+05;2.66E-01;1.7321004;7.91
16S;41.6;41;13C;6;2.27E+06;1.00E+00;1.7266869;2.17
16S;41.7;41;13C;7;8.78E+05;3.87E-01;1.7212734;2.46
16S;41.8;41;13C;8;3.24E+05;1.43E-01;1.7158599;2.79
16S;41.9;41;13C;9;2.70E+05;1.19E-01;1.7126118;1.72
16S;41.1;41;13C;10;4.14E+05;1.82E-01;1.7061156;0.886
16S;41.11;41;13C;11;3.48E+05;1.53E-01;1.7017848;0.249
16S;41.12;41;13C;12;1.31E+04;5.77E-03;1.6942059;0.0762
16S;89.1;89;12C;1;0.00E+00;0.00E+00;1.7450928;0.905
16S;89.2;89;12C;2;0.00E+00;0.00E+00;1.7418447;0.934
16S;89.3;89;12C;3;0.00E+00;0.00E+00;1.7385966;0.882
16S;89.4;89;12C;4;0.00E+00;0.00E+00;1.7342658;0.886
16S;89.5;89;12C;5;0.00E+00;0.00E+00;1.7288523;0.782
16S;89.6;89;12C;6;2.04E+03;7.23E-04;1.7256042;0.899
16S;89.7;89;12C;7;7.04E+03;2.50E-03;1.7212734;0.813
16S;89.8;89;12C;8;1.22E+05;4.33E-02;1.7169426;1.63
16S;89.9;89;12C;9;1.05E+06;3.72E-01;1.7126118;5.8
16S;89.1;89;12C;10;2.59E+06;9.18E-01;1.7093637;2.22
16S;89.11;89;12C;11;2.82E+06;1.00E+00;1.7039502;1.66
16S;89.12;89;12C;12;1.84E+05;6.52E-02;1.6855443;1.58
ITS;41.1;41;13C;1;0.00E+00;0;1.7483409;0
ITS;41.2;41;13C;2;0.00E+00;0;1.7461755;0.001
ITS;41.3;41;13C;3;0.00E+00;0;1.7418447;0.106
ITS;41.4;41;13C;4;1.32E+01;0.01047619;1.7375139;2.24
ITS;41.5;41;13C;5;1.06E+02;0.084126984;1.7321004;7.91
ITS;41.6;41;13C;6;1.21E+03;0.96031746;1.7266869;2.17
ITS;41.7;41;13C;7;1.26E+03;1;1.7212734;2.46
ITS;41.8;41;13C;8;5.07E+02;0.402380952;1.7158599;2.79
ITS;41.9;41;13C;9;7.85E+02;0.623015873;1.7126118;1.72
ITS;41.1;41;13C;10;8.75E+02;0.694444444;1.7061156;0.886
ITS;41.11;41;13C;11;1.22E+03;0.968253968;1.7017848;0.249
ITS;41.12;41;13C;12;4.33E+01;0.034365079;1.6942059;0.0762
ITS;89.1;89;12C;1;0.00E+00;0;1.7450928;0.905
ITS;89.2;89;12C;2;0.00E+00;0;1.7418447;0.934
ITS;89.3;89;12C;3;0.00E+00;0;1.7385966;0.882
ITS;89.4;89;12C;4;0.00E+00;0;1.7342658;0.886
ITS;89.5;89;12C;5;0.00E+00;0;1.7288523;0.782
ITS;89.6;89;12C;6;0.00E+00;0;1.7256042;0.899
ITS;89.7;89;12C;7;0.00E+00;0;1.7212734;0.813
ITS;89.8;89;12C;8;4.22E+01;0.034032258;1.7169426;1.63
ITS;89.9;89;12C;9;2.75E+02;0.221774194;1.7126118;5.8
ITS;89.1;89;12C;10;1.13E+03;0.911290323;1.7093637;2.22
ITS;89.11;89;12C;11;1.24E+03;1;1.7039502;1.66
ITS;89.12;89;12C;12;7.44E+01;0.06;1.6855443;1.58
18S;41.1;41;13C;1;1.05E+02;0.000596591;1.7483409;0
18S;41.2;41;13C;2;2.91E+02;0.001653409;1.7461755;0.001
18S;41.3;41;13C;3;6.59E+02;0.003744318;1.7418447;0.106
18S;41.4;41;13C;4;1.73E+03;0.009829545;1.7375139;2.24
18S;41.5;41;13C;5;1.64E+04;0.093181818;1.7321004;7.91
18S;41.6;41;13C;6;1.03E+05;0.585227273;1.7266869;2.17
18S;41.7;41;13C;7;1.76E+05;1;1.7212734;2.46
18S;41.8;41;13C;8;2.61E+04;0.148295455;1.7158599;2.79
18S;41.9;41;13C;9;8.31E+03;0.047215909;1.7126118;1.72
18S;41.1;41;13C;10;3.49E+04;0.198295455;1.7061156;0.886
18S;41.11;41;13C;11;1.09E+04;0.061931818;1.7017848;0.249
18S;41.12;41;13C;12;3.62E+03;0.020568182;1.6942059;0.0762
18S;89.1;89;12C;1;0.00E+00;0;1.7450928;0.905
18S;89.2;89;12C;2;0.00E+00;0;1.7418447;0.934
18S;89.3;89;12C;3;0.00E+00;0;1.7385966;0.882
18S;89.4;89;12C;4;0.00E+00;0;1.7342658;0.886
18S;89.5;89;12C;5;0.00E+00;0;1.7288523;0.782
18S;89.6;89;12C;6;2.78E+02;0.005;1.7256042;0.899
18S;89.7;89;12C;7;3.75E+02;0.006744604;1.7212734;0.813
18S;89.8;89;12C;8;3.62E+02;0.006510791;1.7169426;1.63
18S;89.9;89;12C;9;1.00E+03;0.017985612;1.7126118;5.8
18S;89.1;89;12C;10;7.67E+03;0.13794964;1.7093637;2.22
18S;89.11;89;12C;11;5.56E+04;1;1.7039502;1.66
18S;89.12;89;12C;12;1.22E+04;0.21942446;1.6855443;1.58
